,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
GreedySearch,0.015279769897460938,0.01546621322631836,0.0150299072265625,0.015101432800292969,0.015065670013427734,0.015475034713745117,0.015358209609985352,0.015615463256835938,0.015066862106323242,0.014996767044067383,0.015456676483154297,0.015137434005737305,0.015074729919433594,0.02126336097717285,0.018184185028076172,0.014984369277954102,0.014970064163208008,0.01579141616821289,0.015796899795532227,0.015220880508422852,0.021539688110351562,0.015937089920043945,0.015314340591430664,0.015189886093139648,0.01507568359375,0.015686750411987305,0.015511035919189453,0.02349853515625,0.016712665557861328,0.015488147735595703,0.015808582305908203,0.014997243881225586,0.014874696731567383,0.016619205474853516,0.015201568603515625,0.01485300064086914,0.014986515045166016,0.02142620086669922,0.014984607696533203,0.015001058578491211,0.01526021957397461,0.01864790916442871,0.014966011047363281,0.015044450759887695,0.014885425567626953,0.015597820281982422,0.015010356903076172,0.015142679214477539,0.015111446380615234,0.015284538269042969,0.014948129653930664,0.021503686904907227,0.015059947967529297,0.015851736068725586,0.014901161193847656,0.015203475952148438,0.015061378479003906,0.014953851699829102,0.01495981216430664,0.014971494674682617,0.014962434768676758,0.015396833419799805,0.01569390296936035,0.014908790588378906,0.01506495475769043,0.015152454376220703,0.01516580581665039,0.015269041061401367,0.015090227127075195,0.014975309371948242,0.015068292617797852,0.014955520629882812,0.018485069274902344,0.015253543853759766,0.015285491943359375,0.015157699584960938,0.01655864715576172,0.021653175354003906,0.014933347702026367,0.024614810943603516,0.015555620193481445,0.014949560165405273,0.014794349670410156,0.021888256072998047,0.021411418914794922,0.014954090118408203,0.01535487174987793,0.015079975128173828,0.015699148178100586,0.017068147659301758,0.015111923217773438,0.015015840530395508,0.014922142028808594,0.015315532684326172,0.014981985092163086,0.02254962921142578,0.015031814575195312,0.01496577262878418,0.015177249908447266,0.02459549903869629
BeamSearch_size1,0.020945310592651367,0.021972179412841797,0.021343469619750977,0.021306991577148438,0.021503925323486328,0.021121740341186523,0.02130413055419922,0.021724224090576172,0.023037195205688477,0.021012306213378906,0.021227359771728516,0.021028757095336914,0.021727561950683594,0.028178930282592773,0.02614140510559082,0.02133035659790039,0.02131366729736328,0.02150869369506836,0.02165699005126953,0.021320104598999023,0.027953147888183594,0.022000789642333984,0.0213010311126709,0.021439552307128906,0.021016836166381836,0.02131938934326172,0.02096080780029297,0.022760391235351562,0.022040605545043945,0.021987438201904297,0.021518707275390625,0.02338576316833496,0.020901203155517578,0.025554418563842773,0.02284979820251465,0.021710634231567383,0.021302223205566406,0.028093338012695312,0.021868467330932617,0.0208437442779541,0.021275758743286133,0.02271866798400879,0.020810365676879883,0.02175760269165039,0.020703792572021484,0.02208733558654785,0.02747797966003418,0.021080493927001953,0.021071434020996094,0.02121138572692871,0.021217823028564453,0.02717757225036621,0.02132892608642578,0.021250009536743164,0.02087712287902832,0.022360563278198242,0.02088761329650879,0.02087545394897461,0.021004199981689453,0.02112555503845215,0.022397756576538086,0.02330780029296875,0.02317190170288086,0.021481990814208984,0.02130126953125,0.021454334259033203,0.025281429290771484,0.021258831024169922,0.02231144905090332,0.021113872528076172,0.02111053466796875,0.021056175231933594,0.0253298282623291,0.022554874420166016,0.021458864212036133,0.022408246994018555,0.021207094192504883,0.028818845748901367,0.02102947235107422,0.02171039581298828,0.02182936668395996,0.02107095718383789,0.020930767059326172,0.021714448928833008,0.028677940368652344,0.02121424674987793,0.023998498916625977,0.023295164108276367,0.021281719207763672,0.022821903228759766,0.021446704864501953,0.02172255516052246,0.021448850631713867,0.022545337677001953,0.020837783813476562,0.022185802459716797,0.020843982696533203,0.02188730239868164,0.0215299129486084,0.026035308837890625
BeamSearch_size2,0.0450739860534668,0.04247736930847168,0.042403459548950195,0.04226088523864746,0.04225349426269531,0.04203343391418457,0.04316425323486328,0.04442167282104492,0.04194235801696777,0.05330991744995117,0.04839372634887695,0.05600905418395996,0.04370927810668945,0.05000495910644531,0.04402446746826172,0.04256463050842285,0.043485403060913086,0.04806661605834961,0.042326927185058594,0.04300689697265625,0.04469132423400879,0.04216122627258301,0.043711185455322266,0.04470944404602051,0.04383683204650879,0.042649030685424805,0.04232978820800781,0.056047677993774414,0.04259443283081055,0.04207444190979004,0.043785810470581055,0.04268479347229004,0.043906211853027344,0.04980945587158203,0.04261159896850586,0.04190468788146973,0.042513132095336914,0.056450843811035156,0.04492521286010742,0.046630859375,0.04639840126037598,0.04274940490722656,0.042964935302734375,0.04236006736755371,0.04192948341369629,0.04237532615661621,0.045945167541503906,0.043244361877441406,0.04219245910644531,0.042157649993896484,0.04413270950317383,0.045323848724365234,0.04895520210266113,0.04289364814758301,0.04197525978088379,0.04288291931152344,0.044094085693359375,0.04204988479614258,0.043468475341796875,0.042369842529296875,0.04397869110107422,0.043558597564697266,0.0423283576965332,0.0419461727142334,0.042444467544555664,0.04504799842834473,0.04413127899169922,0.04899168014526367,0.04338860511779785,0.04594850540161133,0.043689727783203125,0.04316401481628418,0.04223275184631348,0.04948282241821289,0.04353761672973633,0.044064998626708984,0.043137311935424805,0.058403968811035156,0.042198896408081055,0.04289078712463379,0.04815101623535156,0.043309688568115234,0.044938087463378906,0.04190421104431152,0.05807781219482422,0.043062686920166016,0.04222726821899414,0.04485654830932617,0.04329371452331543,0.04296588897705078,0.04250001907348633,0.041957855224609375,0.042311906814575195,0.041908979415893555,0.04294776916503906,0.04217052459716797,0.04259681701660156,0.04285573959350586,0.042418479919433594,0.05742239952087402
BeamSearch_size3,0.052832603454589844,0.0536503791809082,0.05366086959838867,0.05486345291137695,0.05556225776672363,0.0564877986907959,0.05614185333251953,0.052466392517089844,0.05523848533630371,0.04990649223327637,0.05447030067443848,0.04851675033569336,0.05465221405029297,0.04596877098083496,0.04954218864440918,0.06112813949584961,0.05380845069885254,0.053227901458740234,0.053308725357055664,0.0589752197265625,0.04835081100463867,0.06007194519042969,0.0532689094543457,0.05271029472351074,0.05525326728820801,0.05525660514831543,0.054482221603393555,0.044165611267089844,0.053078413009643555,0.053345441818237305,0.053987979888916016,0.0527338981628418,0.05437660217285156,0.048880577087402344,0.05408430099487305,0.05403256416320801,0.05463361740112305,0.05518698692321777,0.05372977256774902,0.0597233772277832,0.05159282684326172,0.053281307220458984,0.056349992752075195,0.053867340087890625,0.054003238677978516,0.05515861511230469,0.0507810115814209,0.054523468017578125,0.05425572395324707,0.05378460884094238,0.05284571647644043,0.05155158042907715,0.0612335205078125,0.053822994232177734,0.05599570274353027,0.05276751518249512,0.053481101989746094,0.057788848876953125,0.05406594276428223,0.05448555946350098,0.05512237548828125,0.05232501029968262,0.052991628646850586,0.060207366943359375,0.05523109436035156,0.05351686477661133,0.052461862564086914,0.05612373352050781,0.05321049690246582,0.059105873107910156,0.053148508071899414,0.06155562400817871,0.05107879638671875,0.050069570541381836,0.053261518478393555,0.05893063545227051,0.05314517021179199,0.048943281173706055,0.0559992790222168,0.049819231033325195,0.05085492134094238,0.0648200511932373,0.0564723014831543,0.05038642883300781,0.051772117614746094,0.05357766151428223,0.05464482307434082,0.05218076705932617,0.05669736862182617,0.06422996520996094,0.053603410720825195,0.05385923385620117,0.0538179874420166,0.05446314811706543,0.05425143241882324,0.052041053771972656,0.06455445289611816,0.05345940589904785,0.053775787353515625,0.047608137130737305
BeamSearch_size4,0.05220150947570801,0.05159139633178711,0.05229973793029785,0.06334638595581055,0.054531097412109375,0.051438331604003906,0.053090810775756836,0.05257010459899902,0.05226898193359375,0.05722451210021973,0.05396080017089844,0.05255889892578125,0.05257081985473633,0.053431034088134766,0.05154824256896973,0.05142617225646973,0.05113554000854492,0.05222463607788086,0.05181002616882324,0.06158614158630371,0.05206108093261719,0.05157208442687988,0.05175375938415527,0.05131196975708008,0.05568838119506836,0.05710434913635254,0.057311296463012695,0.05325007438659668,0.05190849304199219,0.05151033401489258,0.05258059501647949,0.05467939376831055,0.052910566329956055,0.05237746238708496,0.05309557914733887,0.05237746238708496,0.051984310150146484,0.06046128273010254,0.05382204055786133,0.05164813995361328,0.052895545959472656,0.051361083984375,0.0518341064453125,0.05100536346435547,0.05702924728393555,0.06403446197509766,0.05193638801574707,0.057358503341674805,0.05115246772766113,0.05216479301452637,0.05629587173461914,0.05127453804016113,0.06651186943054199,0.05209469795227051,0.06433248519897461,0.05251884460449219,0.05241823196411133,0.06165671348571777,0.05249905586242676,0.054265499114990234,0.05587339401245117,0.05121874809265137,0.05108451843261719,0.051882266998291016,0.05441784858703613,0.051813602447509766,0.05277228355407715,0.05498147010803223,0.05363750457763672,0.053453683853149414,0.05235767364501953,0.06254172325134277,0.05485272407531738,0.0533909797668457,0.0520939826965332,0.05116391181945801,0.052232980728149414,0.0615229606628418,0.05180001258850098,0.05232095718383789,0.053330421447753906,0.0739433765411377,0.05199575424194336,0.05089712142944336,0.06165170669555664,0.0518040657043457,0.05193662643432617,0.05249810218811035,0.05397510528564453,0.06244945526123047,0.05121636390686035,0.05546307563781738,0.05345797538757324,0.051351070404052734,0.0653684139251709,0.05354452133178711,0.06239438056945801,0.05182814598083496,0.05454874038696289,0.05798673629760742
BeamSearch_size5,0.065032958984375,0.07764387130737305,0.12331032752990723,0.06574654579162598,0.06468033790588379,0.06618571281433105,0.06657648086547852,0.06541252136230469,0.07530760765075684,0.06432080268859863,0.06656885147094727,0.0657656192779541,0.06781268119812012,0.07815980911254883,0.06778120994567871,0.06479763984680176,0.06867790222167969,0.06529760360717773,0.06504678726196289,0.0744638442993164,0.06725168228149414,0.06487560272216797,0.06584334373474121,0.06737947463989258,0.06512165069580078,0.06565713882446289,0.07391238212585449,0.06562304496765137,0.06472492218017578,0.0687553882598877,0.07139158248901367,0.06930160522460938,0.08465075492858887,0.06570792198181152,0.06575465202331543,0.07134485244750977,0.06563472747802734,0.06510496139526367,0.06560015678405762,0.06776547431945801,0.06383323669433594,0.06552886962890625,0.06564188003540039,0.07241678237915039,0.0659797191619873,0.06919980049133301,0.06595993041992188,0.06840682029724121,0.06429362297058105,0.06539011001586914,0.06539273262023926,0.06413102149963379,0.08400106430053711,0.07745671272277832,0.0717172622680664,0.06564807891845703,0.06509208679199219,0.06688642501831055,0.0736534595489502,0.06620144844055176,0.0650782585144043,0.06703662872314453,0.06472063064575195,0.06411457061767578,0.06519746780395508,0.06489324569702148,0.0777580738067627,0.0640256404876709,0.07669878005981445,0.06574440002441406,0.06536030769348145,0.07880449295043945,0.06540298461914062,0.07164764404296875,0.06500816345214844,0.06749224662780762,0.06538081169128418,0.07894277572631836,0.06490731239318848,0.06602215766906738,0.07041144371032715,0.06880950927734375,0.06514549255371094,0.06704115867614746,0.07699704170227051,0.06625723838806152,0.06504011154174805,0.0662844181060791,0.06735658645629883,0.07766890525817871,0.06791520118713379,0.06721830368041992,0.06647276878356934,0.06555414199829102,0.06890320777893066,0.07014322280883789,0.0694417953491211,0.06571769714355469,0.06621766090393066,0.06338071823120117
BeamSearch_size6,0.09143614768981934,0.08021140098571777,0.38495397567749023,0.08115792274475098,0.07953143119812012,0.08047962188720703,0.08069825172424316,0.07938814163208008,0.08312726020812988,0.07948040962219238,0.08009600639343262,0.08078622817993164,0.08377981185913086,0.07961678504943848,0.0885164737701416,0.07713127136230469,0.07986664772033691,0.0791020393371582,0.08742284774780273,0.08075451850891113,0.0863947868347168,0.07918548583984375,0.07912492752075195,0.08242988586425781,0.08410358428955078,0.09313654899597168,0.08224058151245117,0.07909893989562988,0.08260393142700195,0.08258318901062012,0.07923293113708496,0.0788564682006836,0.07980108261108398,0.08108949661254883,0.07860970497131348,0.08070707321166992,0.08145904541015625,0.0787045955657959,0.0905616283416748,0.09235620498657227,0.0812525749206543,0.08065152168273926,0.0798642635345459,0.08123278617858887,0.08647537231445312,0.07900118827819824,0.08447813987731934,0.09468817710876465,0.08063030242919922,0.07852721214294434,0.08793997764587402,0.07868456840515137,0.09111618995666504,0.0819542407989502,0.07986831665039062,0.07741212844848633,0.08886241912841797,0.08609557151794434,0.07947683334350586,0.08957052230834961,0.08292412757873535,0.08093833923339844,0.09009861946105957,0.08067679405212402,0.07943439483642578,0.08001708984375,0.08531546592712402,0.07809853553771973,0.07921481132507324,0.07941126823425293,0.07915401458740234,0.08885622024536133,0.08290600776672363,0.08529782295227051,0.0887763500213623,0.08179044723510742,0.0789036750793457,0.09536290168762207,0.08061075210571289,0.07799553871154785,0.08989453315734863,0.08054733276367188,0.08295989036560059,0.07813262939453125,0.09490013122558594,0.08091092109680176,0.07960200309753418,0.09012675285339355,0.07952237129211426,0.09406685829162598,0.07799267768859863,0.08482789993286133,0.07890176773071289,0.10640954971313477,0.09737539291381836,0.08208680152893066,0.08042716979980469,0.07782340049743652,0.08799123764038086,0.07982397079467773
BeamSearch_size7,0.10890913009643555,0.09749388694763184,0.1688992977142334,0.09589338302612305,0.09490275382995605,0.09258365631103516,0.09517264366149902,0.10207486152648926,0.09966921806335449,0.09529900550842285,0.09358716011047363,0.09892821311950684,0.09303760528564453,0.1040947437286377,0.0988759994506836,0.0985255241394043,0.09639978408813477,0.10001587867736816,0.10395383834838867,0.10890722274780273,0.09252166748046875,0.10253739356994629,0.11117672920227051,0.10039520263671875,0.09520483016967773,0.10805964469909668,0.09297943115234375,0.09355425834655762,0.09970450401306152,0.09313845634460449,0.09736514091491699,0.10706281661987305,0.0939793586730957,0.09409904479980469,0.10109186172485352,0.09709048271179199,0.09373140335083008,0.1094048023223877,0.10672140121459961,0.09201717376708984,0.092437744140625,0.09651541709899902,0.11536002159118652,0.09407782554626465,0.09799981117248535,0.0984199047088623,0.0979158878326416,0.11159801483154297,0.09247207641601562,0.09418129920959473,0.10230660438537598,0.09776091575622559,0.09726953506469727,0.09207606315612793,0.09491419792175293,0.09210324287414551,0.10806751251220703,0.0937502384185791,0.09721231460571289,0.09511923789978027,0.09772491455078125,0.09319663047790527,0.09367895126342773,0.09315991401672363,0.0944368839263916,0.09986639022827148,0.09305834770202637,0.10113382339477539,0.09413623809814453,0.09294939041137695,0.09741759300231934,0.10600805282592773,0.09927201271057129,0.1034400463104248,0.09242606163024902,0.0935828685760498,0.10277247428894043,0.12886452674865723,0.10029006004333496,0.10157370567321777,0.09709358215332031,0.09224247932434082,0.11364984512329102,0.0991363525390625,0.11428236961364746,0.0958251953125,0.09747052192687988,0.09923815727233887,0.0926823616027832,0.10975980758666992,0.09195160865783691,0.09396886825561523,0.10585451126098633,0.09344148635864258,0.1056814193725586,0.0959787368774414,0.09314155578613281,0.09845757484436035,0.09871268272399902,0.11729812622070312
BeamSearch_size8,0.1088097095489502,0.11052274703979492,0.1250908374786377,0.4666721820831299,0.11233305931091309,0.10887813568115234,0.10940766334533691,0.10865020751953125,0.11903500556945801,0.11759090423583984,0.11186528205871582,0.11279702186584473,0.11330437660217285,0.10950064659118652,0.11214280128479004,0.11378049850463867,0.1133425235748291,0.11549830436706543,0.10611653327941895,0.10992693901062012,0.10789680480957031,0.11095023155212402,0.1151883602142334,0.10712456703186035,0.11621260643005371,0.11014294624328613,0.1080632209777832,0.10707426071166992,0.10945296287536621,0.10876226425170898,0.12836456298828125,0.11353921890258789,0.10871243476867676,0.10760641098022461,0.11241436004638672,0.12015461921691895,0.11455941200256348,0.12505650520324707,0.11415648460388184,0.11068534851074219,0.10678601264953613,0.13858628273010254,0.11574172973632812,0.12100577354431152,0.11867880821228027,0.11166071891784668,0.10601544380187988,0.10882997512817383,0.11410355567932129,0.12404227256774902,0.11021089553833008,0.11906599998474121,0.11932754516601562,0.1140139102935791,0.10835742950439453,0.12193751335144043,0.1095879077911377,0.11096715927124023,0.1181330680847168,0.10780906677246094,0.10842347145080566,0.11763739585876465,0.1078798770904541,0.12191009521484375,0.11408782005310059,0.11415338516235352,0.10839176177978516,0.1060481071472168,0.1139991283416748,0.11225581169128418,0.115570068359375,0.1219031810760498,0.10874629020690918,0.10965347290039062,0.1092383861541748,0.11538338661193848,0.11147403717041016,0.11447691917419434,0.11255621910095215,0.11875438690185547,0.11147427558898926,0.11719584465026855,0.13379526138305664,0.10933804512023926,0.12254476547241211,0.11008596420288086,0.12968993186950684,0.11224961280822754,0.11464095115661621,0.12755513191223145,0.11835026741027832,0.1174781322479248,0.12207651138305664,0.10901641845703125,0.11065554618835449,0.131422758102417,0.10768008232116699,0.1092684268951416,0.11926865577697754,0.10933136940002441
BeamSearch_size9,0.12577104568481445,0.13162875175476074,0.12378263473510742,0.19909024238586426,0.12781548500061035,0.12545228004455566,0.1340494155883789,0.1248629093170166,0.1286923885345459,0.13399863243103027,0.13163042068481445,0.13039064407348633,0.13944458961486816,0.1234748363494873,0.13648462295532227,0.12666940689086914,0.13246464729309082,0.12544012069702148,0.13991427421569824,0.1219477653503418,0.12178301811218262,0.12285327911376953,0.12606287002563477,0.13148164749145508,0.1378040313720703,0.12368226051330566,0.12393903732299805,0.12304949760437012,0.13515591621398926,0.12463974952697754,0.15235257148742676,0.12289738655090332,0.12182378768920898,0.12798643112182617,0.12575769424438477,0.13041090965270996,0.14882636070251465,0.12382292747497559,0.1273195743560791,0.12354159355163574,0.12219762802124023,0.1678600311279297,0.13252615928649902,0.12376761436462402,0.14408016204833984,0.12420940399169922,0.12915682792663574,0.127699613571167,0.1333324909210205,0.12751126289367676,0.12256288528442383,0.1281566619873047,0.1246187686920166,0.1264173984527588,0.1379871368408203,0.12583088874816895,0.12440299987792969,0.1297285556793213,0.1278235912322998,0.1274251937866211,0.14108610153198242,0.12932991981506348,0.1348104476928711,0.12314057350158691,0.1304936408996582,0.12456488609313965,0.13164520263671875,0.12281203269958496,0.12659478187561035,0.12892961502075195,0.14226865768432617,0.12501120567321777,0.13713717460632324,0.12489700317382812,0.1282649040222168,0.12139630317687988,0.12609457969665527,0.13289856910705566,0.14262056350708008,0.13385868072509766,0.12778186798095703,0.1281297206878662,0.15065598487854004,0.1254115104675293,0.13065314292907715,0.13307738304138184,0.12437129020690918,0.12395668029785156,0.12582707405090332,0.14913558959960938,0.12472248077392578,0.1496429443359375,0.12701058387756348,0.12366342544555664,0.12656116485595703,0.1208035945892334,0.12436532974243164,0.1317458152770996,0.12214493751525879,0.15834641456604004
